ID,nome_receita,ingredientes,modo-de-preparo,ingredientes_cobertura,ingredientes_decoracao,video_receita,ingredientes_recheio,ingredientes_finalizacao,total-da-massa,total-da_cobertura,total-da_decoracao,total-da_finalizacao,total-do_recheio
1852,Pão de Milho Especial com IREKS PÃO DE MILHO ESPECIAL C50,"Farinha de trigo especial (50%, 5000g); IREKS PÃO DE MILHO ESPECIAL C50 (50%, 5000g); Margarina (com 80% de lipídios) (5%, 500g); Fermento fresco (6%, 600g); Água (gelada) (40%, 4000ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 1.200 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: bola (dividir com auxílio de uma divisora) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 30 minutos com vapor ou até obter o ponto Dica: se preferir, após modelar, umedecer a parte superior da massa, passar no fubá e fazer cortes decorativos Rendimento: 377 pães de 35 g cada Quebra: 12%",,,,,,15100,,,,
1855,Pão de Ovos Especial com IREKS PÃO DE OVOS ESPECIAL C50,"Farinha de trigo especial (50%, 5000g); IREKS PÃO DE OVOS ESPECIAL C50 (50%, 5000g); Ovos (30%, 3000g); Margarina (com 80% de lipídios) (10%, 1000g); Fermento fresco (6%, 600g); Água (gelada) (15%, 1500ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 800 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: bola (dividir com auxílio de uma divisora) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 15 minutos sem vapor ou até obter o ponto Dica: pincelar com ovos inteiros no meio da fermentação Rendimento: 600 pães de 23 g cada Quebra: 12%",,,,,,16100,,,,
1858,Pão de Cenoura com IREKS PÃO DE CENOURA C50,"Farinha de trigo especial (50%, 5000g); IREKS PÃO DE CENOURA C50 (50%, 5000g); Margarina (com 80% de lipídios) (5%, 500g); Fermento fresco (6%, 600g); Água (gelada) (40%, 4000ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 1.200 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: bola (dividir com auxílio de uma divisora) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 180°C Tempo de forneamento: 15 minutos sem vapor ou até obter o ponto Rendimento: 377 pães de 35 g cada Quebra: 12%",,,,,,15100,,,,
1861,Pão de Abóbora Bolinha com IREKS PÃO DE ABÓBORA C50,"Farinha de trigo especial (50%, 5000g); IREKS PÃO DE ABÓBORA C50 (50%, 5000g); Margarina (com 80% de lipídios) (5%, 500g); Fermento fresco (4,5%, 450 g); Água (gelada) (40%, 4000ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 1.200 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: bola (dividir com auxílio de uma divisora) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 15 minutos sem vapor ou até obter o ponto Dica: pincelar com ovos inteiros no meio da fermentação Rendimento: 373 pães de 35 g cada Quebra: 12%",,,,,,14950,,,,
1864,Pão de Tapioca com IREKS PÃO DE TAPIOCA C50,"Farinha de trigo especial (50%, 5000g); IREKS PÃO DE TAPIOCA C50 (50%, 5000g); Ovos (15%, 1500g); Fermento fresco (5%, 500 g); Água (gelada) (30%, 3000 ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 1.200 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: bolinha (dividir com o auxílio de uma divisora) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 180°C Tempo de forneamento: 15 minutos sem vapor ou até obter o ponto Dica: pincelar com ovos no meio da fermentação Rendimento: 375 pães de 35 g cada Quebra: 12%",,,,,,15000,,,,
1867,Pão de Leite com IREKS PÃO DE LEITE C50,"Farinha de trigo especial (50%, 5000g); IREKS PÃO DE LEITE C50 (50%, 5000g); Fermento fresco (4,5%, 450g); Água (gelada) (40%, 4000ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso da massa: 1.800 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: hot dog (dividir com o auxílio de uma divisora) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 200°C Tempo de forneamento: 15 minutos sem vapor ou até obter o ponto Dica: fazer cortes decorativos transversais Rendimento: 240 pães de 54 g cada Quebra: 10%",,,,,,14450,,,,
1870,Pão de Batata doce com IREKS PÃO DE BATATA DOCE,"Farinha de trigo especial (50%, 5000g); IREKS PÃO DE BATATA DOCE (50%, 5000g); Ovos (15%, 1500g); Margarina (com 80% de lipídios) (5%, 500g); Fermento fresco (4%, 400g); Água (gelada) (35%, 3500ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 1.200 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: bola (dividir com auxílio de uma divisora) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 15 minutos sem vapor ou até obter o ponto Dica: pincelar com ovos no meio da fermentação Rendimento: 397 unidades de 35 g cada Quebra: 12%",,,,,,15900,,,,
1873,Pão de Hambúrguer com IREKS TOP MACIO C50,"Farinha de trigo especial (50%, 5000g); IREKS TOP MACIO C50 (50%, 5000g); Fermento fresco  (3%, 300 g); Água (gelada) (42%, 4200ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 2.400 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: pão de hambúrguer Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 200°C Tempo de forneamento: 12 minutos sem vapor ou até obter o ponto Rendimento: 181 pães de 70 g cada Quebra: 12%",,,,,,14500,,,,
1876,Pão de Hambúrguer com IREKS SUAVEMIX C20,"Farinha de trigo especial (80%, 8000g); IREKS SUAVEMIX C20 (20%, 5000g); Fermento fresco (4%, 520g); Água (gelada) (52%, 6760ml)","Tempo de preparo dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 2.200 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: pão de hambúrguer Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 200°C Tempo de forneamento: 15 minutos sem vapor ou até obter o ponto Rendimento: 289 pães de 62 g cada Quebra: 14%",,,,,,20280,,,,
1879,Pão Doce com IREKS PÃO DOCE C33,"Farinha de trigo especial (66,67%, 10000g); IREKS PÃO DOCE C33 (33,33%, 5000g); Fermento fresco (6%, 900g); Água (gelada) (40%, 6000ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças sugerido: 1.200 g ou no tamanho desejado Descanso da massa: 15 minutos, coberta com plástico Formato: trança Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 15 minutos sem vapor ou até obter o ponto Total da massa crua: 21.900 g Total da massa assada: 18.615 g Rendimento: 547 pães de 34 g cada Quebra: 15%",,,,,,21900,,,,
1882,Pão de Quinoa com castanha-do-pará com IREKS SÓVITAL QUINOA C50,"Farinha de trigo especial (50%, 5000g); IREKS SÓVITAL QUINOA C50 (50%, 5000g); Fermento fresco (4%, 400g); Água (gelada) (44%, 4400ml)","Tempo de preparo dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 400 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: pão de forma Fermentação: 90 minutos ou até obter o ponto Cobertura: umedecer a parte superior da massa e passar na cobertura que acompanha o produto Temperatura do forno: 180°C Tempo de forneamento: 30 minutos com vapor ou até obter o ponto Dica: pode ser utilizado para montagem de sanduíches naturais Rendimento: 37 pães de 345 g cada Quebra: 15%","Mescla de quinoa (100%, gg)",,,,,14800,250,,,
1885,Pão Sóvital Aveia com IREKS SÓVITAL AVEIA C50,"Farinha de trigo especial (50%, 5000g); IREKS SÓVITAL AVEIA C50 (50%, 5000 g); Fermento fresco (3%, 300g); Água (gelada) (60%, 6000ml)","Tempo de preparo dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 400 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: pão de forma Cobertura: umedecer a parte superior da massa e passar na cobertura que acompanha o produto Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 200°C Tempo de forneamento: 35 minutos com vapor ou até obter o ponto Dica: pode ser utilizado para montagem de sanduíches naturais Rendimento: 40 pães de 360 g cada Quebra: 10%","Aveio em flocos (100%, gg)",,,,,16300,500,,,
1888,Pão Sóvital Linho com IREKS SÓVITAL LINHO C50,"Farinha de trigo especial (50%, 5000g); IREKS SÓVITAL LINHO C50 (50%, 5000g); Fermento fresco (3%, 300g); Água (gelada) (60%, 6000ml)","Tempo de preparo dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 400 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: pão de forma Fermentação: 90 minutos ou até obter o ponto Cobertura: umedecer a parte superior da massa e passar na cobertura que acompanha o produto Temperatura do forno: 200°C Tempo de forneamento: 35 minutos com vapor ou até obter o ponto Dica: pode ser utilizado para montagem de sanduíches naturais Rendimento: 40 pães de 360 g cada Quebra: 10%","Linhaça (100%, gg)",,,,,16300,600,,,
1891,Pão Sóvital Fibras com IREKS SÓVITAL FIBRAS C50,"Farinha de trigo especial (50%, 5000g); IREKS SÓVITAL FIBRAS C50 (50%, 5000g); Fermento fresco (3%, 300g); Água (gelada) (6%, 600ml)","Tempo de preparo dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 400 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: pão de forma Fermentação: 90 minutos ou até obter o ponto Cobertura: umedecer a parte superior da massa e passar na cobertura que acompanha o produto Temperatura do forno: 200°C Tempo de forneamento: 35 minutos com vapor ou até obter o ponto Dica: pode ser utilizado para montagem de sanduíches naturais Rendimento: 40 pães de 360 g cada Quebra: 10%","Farelo integral (100%, gg)",,,,,16300,300,,,
1899,Croissant com IREKS CROISSANT PRESTIGE C100,"IREKS CROISSANT PRESTIGE C100 (100%, 2000g); Margarina folhada (40%, 800g); Fermento fresco (3%, 60g); Água (gelada) (55%, 1100ml)","Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Montagem: Abrir a massa (1ª vez) até obter uma espessura de 1 cm em mesa polvilhada com farinha, cobrir 2/3 da massa com margarina folhada, dobrar a massa de modo que toda margarina fique envolvida na massa, a parte sem margarina sobre a parte com margarina e sobre elas a terceira parte com margarina, abrir a massa (2ª vez) novamente a uma espessura de 1 cm. Dobrar a massa em 3 camadas sobrepostas, abrir a massa (3ª vez) novamente a uma espessura de 1 cm. Novamente dobrar a massa em 3 camadas sobrepostas Descanso das peças: 10 minutos, cobertas com plástico Formato: cortar a massa em triângulos (21 x 15 cm) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 180°C Tempo de forneamento: 25 minutos com pouco vapor ou até obter o ponto Dica: pincelar com ovos no meio da fermentação Rendimento: 55 croissants de 60 g cada Quebra: 16%",,,,,,3960,,,,
1903,Croissant com IREKS CROISSANT C50,"Farinha de trigo especial (50%, 10000g); IREKS CROISSANT C50 (50%, 10000g); Margarina (com 80% de lipídios) (40%, 8000 g); Manteiga (sem sal) (10%, 2000 g); Fermento fresco (1,5%, 300 g); Água (gelada) (55%, 11000ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Processo de dobras: aplicar a margarina folhada e fazer 3 dobras de 3 no processo croissant Descanso das peças: 60 minutos, cobertas com plástico em refrigerador Formato: cortar a massa em triângulos (21 x 15 cm) Fermentação: 60 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 20 a 25 minutos com pouco vapor ou até obter o ponto Dica: pincelar com ovos no meio da fermentação Rendimento: 581 croissants de 60 g cada Quebra: 16%",,,,,,41300,,,,
1917,Croissant Manteiga com IREKS CROISSANT MANTEIGA C50,"Farinha de trigo especial (50%, 5000g); IREKS CROISSANT MANTEIGA C50 (50%, 5000 g); Manteiga (10%, 1000g); Fermento fresco (2%, 200 g); Água (gelada) / Gelo (em escamas)* (42%, 4200ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Montagem: abrir a massa (1ª vez) até obter uma espessura de 1 cm em mesa polvilhada com farinha, cobrir 2/3 da massa com margarina folhada, dobrar a massa de modo que toda margarina fique envolvida na massa, a parte sem margarina sobre a parte com margarina e sobre elas a terceira parte com margarina, abrir a massa (2ª vez) novamente a uma espessura de 1 cm. Dobrar a massa em 3 camadas sobrepostas, abrir a massa (3ª vez) novamente a uma espessura de 1 cm. Novamente dobrar a massa em 3 camadas sobrepostas Descanso das peças: 10 minutos, cobertas com plástico Formato: cortar a massa em triângulos (21 x 15 cm) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 180°C Tempo de forneamento: 25 minutos com pouco vapor ou até obter o ponto Dica: é ideal descansar a massa por 60 minutos, coberta com plástico sob refrigeração Total da massa crua: 19.400 g Total da massa assada: 16.296 g Rendimento: +- 323 croissants de aprox. 50 g cada Quebra: 16%",,,,,"Margarina para croissant (40%, gg)",15400,,,4000,
1926,Pão Brioche com IREKS LE PAIN BRIOCHE,"IREKS LE PAIN BRIOCHE (100%, 2000 g); Ovos (gelados) (30%, 600 g); Margarina (com 80% de lipídios) (15%, 300 g); Fermento fresco  (6%, 120 g); Água (gelada) (15%, 300 ml)","Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças sugerido: 120 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: esticar 3 peças e modelar em formato de trança Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 180°C Tempo de forneamento: 25 minutos sem vapor ou até obter o ponto Dica: pincelar com ovos no meio da fermentação Total da massa crua: 3.320 g Total da massa assada: 2.988 g Rendimento: 9 brioches de aprox. 332 g cada Quebra: 10%",,,https://www.youtube.com/watch?v=dmw3is-b-rs,,,3320,,,,
1940,Chipa com IREKS CHIPA C80,"IREKS CHIPA C80 (80%, 2000g); Margarina (com 80% de lipídios) (20%, 500g); Queijo minas padrão ou meia cura (ralado) (50%, 1250 g); Ovos (gelados) (20 %, 500 g); Leite integral (gelado) (30%, 750 ml)","Tempo de preparo da massa: 1 minuto na velocidade 1 e 3 minutos na velocidade 2 ou até a massa ficar homogênea (com batedor tipo raquete) Peso dos blocos: 1.200 g Divisão: 40 g (dividir com auxílio de uma divisora) Formato: meia-lua Temperatura do forno: 200°C Tempo de forneamento: 15 minutos sem vapor ou até obter o ponto Dica: podem ser adicionados na massa: azeitonas, cebolinha verde, bacon, calabresa, etc. Rendimento: 125 chipas de 34 g cada Quebra: 15%",,,https://www.youtube.com/watch?v=p-rLoNDNFW8&list=PLhgz6R_DV9Lgm3s5RrKMFXDmGiCHMb9Qh&index=16,,,5000,,,,
1941,Panettone Frutas com IREKS GRAN PANETTONE S C12,"Farinha de trigo especial (66%, 55000 g); IREKS GRAN PANETTONE S C12 (12%, 10000 g); Açúcar refinado (12%, 10000 g); Gordura vegetal hidrogenada (10%, 8335 g); Frutas cristalizadas  (30%, 25000 g); Uvas-passas (15%, 12500 g); Fermento fresco (5%, 4166 g); Água (gelada)  (40%, 33334 ml)","Tempo de preparo dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1, até obter o ponto de véu na velocidade 2 e mais 2 minutos na velocidade 1 (para misturar as frutas cristalizadas e as uvas-passas) Peso das peças: 550 g ou no tamanho desejado Descanso das peças: 30 minutos, cobertas com plástico Formato: panetone (forma de 500 g) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 35 a 40 minutos sem vapor ou até obter o ponto Rendimento: 287 panetones de 510 g cada Quebra: 7%",,,,,,158335,,,,
1945,Panettone Gotas de Chocolate com IREKS GRAN PANETTONE S C12,"Farinha de trigo especial (66%, 55000 g); IREKS GRAN PANETTONE S C12 (12%, 10000 g); Açúcar refinado (12%, 10000 g); Gordura vegetal hidrogenada (10%, 8335 g); Gotas de chocolate (congeladas)  (40%, 33334 g); Fermento fresco (5%, 4166 g); Água (gelada)  (40%, 33334 ml)","Tempo de preparo dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1, até obter o ponto de véu na velocidade 2 e mais 2 minutos na velocidade 1 (para misturar as gotas de chocolate) Peso das peças: 540 g ou no tamanho desejado Descanso das peças: 15 minutos, cobertas com plástico Formato: panetone (forma de 500 g) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 35 a 40 minutos sem vapor ou até obter o ponto Rendimento: 285 panetones de 500 g cada Quebra: 7%",,,,,,154169,,,,
1953,Panettone Frutas com IREKS PANETTONE SG C10,"Farinha de trigo especial (65%, 65000 g); IREKS PANETTONE SG C10 (10%, 10000 g); Gordura vegetal hidrogenada (10%, 10000 g); Açúcar (15%, 15000 g); Frutas cristalizadas (33%, 33000 g); Uvas-passas (17%, 17000 g); Gema de ovos (5,5%, 5500 g); Fermento fresco (5%, 5000 g); Água (gelada) (35%, 35000ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1, até obter o ponto de véu na velocidade 2 e 2 minutos na velocidade 1 (para misturar as frutas cristalizadas e as uvas passas) Peso das peças: 550 g ou no tamanho desejado Descanso das peças: 30 minutos, cobertas com plástico Formato: panetone (forma de 500 g) Fermentação: 120 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 35 minutos sem vapor ou até obter o ponto Rendimento: 355 panetones de 511 g cada Quebra: 7%",,,,,,195500,,,,
